uuid,created_at_utc,provider,model,survey,role_uid,temperature,type,prompt_tokens,completion_tokens,prompt,response,reasoning
e00d3790-3dcb-4808-8243-3ef0cb2664d0,2026-03-09T09:05:22Z,claude-sonnet-4.6,NA,ccps,eco,0,considerations,833,168,"## Instructions:
- Rate each of the 33 [Considerations] below from 1 to 11, where 1 is strongly disagree and 11 is strongly agree.
- In your response, return an ordered list of 33 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 33 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. Failure to address climate change is the fault of political leaders.
2. I don't trust what scientists say about climate change.
3. Australia is particularly vulnerable to climate change, and it is in our interest to help find an effective global solution.
4. The fate of the planet is too important to be left to market forces.
5. We should pay for greenhouse emissions.
6. I care about the planet.
7. The response to climate change is not going to be positive. The same mistakes will keep happening.
8. I want to do something, but it is too big and too hard.
9. I believe that the difference we can have as an individual, in Australia, is so minimal that our actions are worthless.
10. I don't know what to do. I'm very concerned and would like to do something, but I don't have a realistic shortlist of things that would really make a difference.
11. I think it is safe to say climate change is here.
12. Governments should take a far greater role in preparing towns and cities to adapt to the impacts of climate change.
13. It is clear that we are already entering the zone of dangerous climate change.
14. It's difficult to trust what comes out in the media on the issue of climate change.
15. There's not much point in me doing anything to fix this. No-one else is going to.
16. Climate variation is normal, so why should this be a problem?
17. I'm not going to do anything to address climate change because it is not a major issue.
18. More educational programmes are needed to increase public awareness about climate change.
19. When I read in the paper that climate change is not true, I start to have doubts about whether it is changing.
20. There is not enough information to definitively say that climate change is real.
21. I'm not concerned enough to do anything drastic about this, such as participate in political action.
22. It is already too late to do anything, as any action to stop climate change will take a long time to take effect.
23. Climate change will not be a problem because there will be technological solutions available.
24. We need strong political leadership to do something about climate change.
25. This is so depressing and is so out of our control.
26. We need laws addressing climate change because people are not going to volunteer to change.
27. Australia's emissions are tiny, so it's not up to us to act.
28. Doing something to reduce emissions feels a bit hopeless but I just want to feel that I'm doing the most I can.
29. Australia does not owe it to the rest of the world to reduce emissions and suffer economically.
30. We can adapt to the coming changes.
31. It is unfair that we are going to leave the climate in a mess for future generations.
32. I don't trust what I hear about climate change from government.
33. If Australia reduces greenhouse gases it won't make a difference. That will just shift Australian jobs to other countries.","1. 7
2. 1
3. 10
4. 10
5. 9
6. 11
7. 6
8. 3
9. 2
10. 3
11. 11
12. 10
13. 10
14. 4
15. 2
16. 2
17. 1
18. 9
19. 2
20. 1
21. 2
22. 4
23. 2
24. 10
25. 4
26. 10
27. 1
28. 5
29. 1
30. 4
31. 10
32. 6
33. 2",NA
e00d3790-3dcb-4808-8243-3ef0cb2664d0,2026-03-09T09:05:22Z,claude-sonnet-4.6,NA,ccps,eco,0,policies,1330,38,"## Instructions:
- Based on your previous ratings, rank the 7 [Policies] listed below from 1 to 7, where 1 represents the option you support the most and 7 the option you support the least.
- In your response, return an ordered list of 7 ranks as integers, one rank per line following the format in the [Example output].
- Your response must have exactly 7 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 4
2. 1
3. 3
4. 2

## [Policies]:
1. Policies that emphasise economic growth over climate change adaptation or mitigation.
2. Adaptation policies that target individual, small business or community-based actions (eg support the installation of alternative energy generators, insulation, water use efficiency)
3. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
4. Adaptation policies and expenditure (e.g. coastal protection, water desalinisation, improving infrastructure etc). Planning controls and emergency response programs.
5. Leave the policy settings as they are.
6. Policies that involve a dramatic cut back in CO2 emissions (by 50% in the next 10 years).
7. Policies that involve a moderate cut in CO2 emissions (by 25% in over the next 10 years).","1. 7
2. 6
3. 3
4. 2
5. 4
6. 5
7. 1",NA
e00d3790-3dcb-4808-8243-3ef0cb2664d0,2026-03-09T09:05:22Z,claude-sonnet-4.6,NA,ccps,eco,0,reason,1422,22,"## Instructions:
- In a single line, explain your ratings above within 100 characters or less.
- Do not include any additional formatting, such as bullets or special characters.
- Do not include more than one space in a row.",Dramatic emissions cuts are urgent priority as ecological limits demand systemic change over incremental steps.,NA
9ac2d364-43d2-42d6-83e8-94ad9542215b,2026-03-09T09:06:04Z,anthropic,claude-sonnet-4.6,ccps,eco,0,considerations,833,168,"## Instructions:
- Rate each of the 33 [Considerations] below from 1 to 11, where 1 is strongly disagree and 11 is strongly agree.
- In your response, return an ordered list of 33 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 33 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. Australia's emissions are tiny, so it's not up to us to act.
2. The response to climate change is not going to be positive. The same mistakes will keep happening.
3. We need strong political leadership to do something about climate change.
4. Australia is particularly vulnerable to climate change, and it is in our interest to help find an effective global solution.
5. When I read in the paper that climate change is not true, I start to have doubts about whether it is changing.
6. This is so depressing and is so out of our control.
7. I believe that the difference we can have as an individual, in Australia, is so minimal that our actions are worthless.
8. I'm not going to do anything to address climate change because it is not a major issue.
9. We can adapt to the coming changes.
10. I think it is safe to say climate change is here.
11. It is clear that we are already entering the zone of dangerous climate change.
12. Doing something to reduce emissions feels a bit hopeless but I just want to feel that I'm doing the most I can.
13. It's difficult to trust what comes out in the media on the issue of climate change.
14. I want to do something, but it is too big and too hard.
15. We should pay for greenhouse emissions.
16. There is not enough information to definitively say that climate change is real.
17. Climate change will not be a problem because there will be technological solutions available.
18. We need laws addressing climate change because people are not going to volunteer to change.
19. Failure to address climate change is the fault of political leaders.
20. I don't trust what scientists say about climate change.
21. The fate of the planet is too important to be left to market forces.
22. It is already too late to do anything, as any action to stop climate change will take a long time to take effect.
23. I don't know what to do. I'm very concerned and would like to do something, but I don't have a realistic shortlist of things that would really make a difference.
24. I don't trust what I hear about climate change from government.
25. It is unfair that we are going to leave the climate in a mess for future generations.
26. If Australia reduces greenhouse gases it won't make a difference. That will just shift Australian jobs to other countries.
27. I'm not concerned enough to do anything drastic about this, such as participate in political action.
28. Australia does not owe it to the rest of the world to reduce emissions and suffer economically.
29. More educational programmes are needed to increase public awareness about climate change.
30. Governments should take a far greater role in preparing towns and cities to adapt to the impacts of climate change.
31. Climate variation is normal, so why should this be a problem?
32. There's not much point in me doing anything to fix this. No-one else is going to.
33. I care about the planet.","1. 1
2. 3
3. 11
4. 11
5. 1
6. 3
7. 1
8. 1
9. 5
10. 11
11. 11
12. 5
13. 4
14. 3
15. 11
16. 1
17. 1
18. 10
19. 7
20. 1
21. 11
22. 2
23. 4
24. 6
25. 11
26. 1
27. 1
28. 1
29. 10
30. 11
31. 1
32. 1
33. 11",NA
9ac2d364-43d2-42d6-83e8-94ad9542215b,2026-03-09T09:06:04Z,anthropic,claude-sonnet-4.6,ccps,eco,0,policies,1330,38,"## Instructions:
- Based on your previous ratings, rank the 7 [Policies] listed below from 1 to 7, where 1 represents the option you support the most and 7 the option you support the least.
- In your response, return an ordered list of 7 ranks as integers, one rank per line following the format in the [Example output].
- Your response must have exactly 7 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 4
2. 1
3. 3
4. 2

## [Policies]:
1. Policies that involve a dramatic cut back in CO2 emissions (by 50% in the next 10 years).
2. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
3. Policies that emphasise economic growth over climate change adaptation or mitigation.
4. Adaptation policies that target individual, small business or community-based actions (eg support the installation of alternative energy generators, insulation, water use efficiency)
5. Leave the policy settings as they are.
6. Policies that involve a moderate cut in CO2 emissions (by 25% in over the next 10 years).
7. Adaptation policies and expenditure (e.g. coastal protection, water desalinisation, improving infrastructure etc). Planning controls and emergency response programs.","1. 1
2. 7
3. 3
4. 6
5. 4
6. 2
7. 5",NA
9ac2d364-43d2-42d6-83e8-94ad9542215b,2026-03-09T09:06:04Z,anthropic,claude-sonnet-4.6,ccps,eco,0,reason,1422,26,"## Instructions:
- In a single line, explain your ratings above within 100 characters or less.
- Do not include any additional formatting, such as bullets or special characters.
- Do not include more than one space in a row.","Prioritize drastic emission cuts first, then systemic adaptation, rejecting growth-over-climate approaches.",NA
0e133e49-b024-41c0-b92e-676c15fe577c,2026-03-09T09:09:15Z,anthropic,claude-sonnet-4.6,ccps,coa,2,considerations,844,168,"## Instructions:
- Rate each of the 33 [Considerations] below from 1 to 11, where 1 is strongly disagree and 11 is strongly agree.
- In your response, return an ordered list of 33 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 33 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. There is not enough information to definitively say that climate change is real.
2. Governments should take a far greater role in preparing towns and cities to adapt to the impacts of climate change.
3. I don't trust what scientists say about climate change.
4. There's not much point in me doing anything to fix this. No-one else is going to.
5. Climate variation is normal, so why should this be a problem?
6. The fate of the planet is too important to be left to market forces.
7. We should pay for greenhouse emissions.
8. Australia's emissions are tiny, so it's not up to us to act.
9. If Australia reduces greenhouse gases it won't make a difference. That will just shift Australian jobs to other countries.
10. We need laws addressing climate change because people are not going to volunteer to change.
11. This is so depressing and is so out of our control.
12. The response to climate change is not going to be positive. The same mistakes will keep happening.
13. It's difficult to trust what comes out in the media on the issue of climate change.
14. We need strong political leadership to do something about climate change.
15. I believe that the difference we can have as an individual, in Australia, is so minimal that our actions are worthless.
16. It is clear that we are already entering the zone of dangerous climate change.
17. Australia does not owe it to the rest of the world to reduce emissions and suffer economically.
18. I'm not going to do anything to address climate change because it is not a major issue.
19. It is unfair that we are going to leave the climate in a mess for future generations.
20. Australia is particularly vulnerable to climate change, and it is in our interest to help find an effective global solution.
21. I want to do something, but it is too big and too hard.
22. I don't trust what I hear about climate change from government.
23. More educational programmes are needed to increase public awareness about climate change.
24. We can adapt to the coming changes.
25. Doing something to reduce emissions feels a bit hopeless but I just want to feel that I'm doing the most I can.
26. I'm not concerned enough to do anything drastic about this, such as participate in political action.
27. Failure to address climate change is the fault of political leaders.
28. I care about the planet.
29. It is already too late to do anything, as any action to stop climate change will take a long time to take effect.
30. I think it is safe to say climate change is here.
31. I don't know what to do. I'm very concerned and would like to do something, but I don't have a realistic shortlist of things that would really make a difference.
32. Climate change will not be a problem because there will be technological solutions available.
33. When I read in the paper that climate change is not true, I start to have doubts about whether it is changing.","1. 1
2. 11
3. 1
4. 2
5. 1
6. 10
7. 10
8. 1
9. 2
10. 10
11. 8
12. 7
13. 5
14. 11
15. 2
16. 11
17. 1
18. 1
19. 11
20. 11
21. 7
22. 7
23. 11
24. 3
25. 8
26. 1
27. 9
28. 11
29. 6
30. 11
31. 8
32. 2
33. 1",NA
0e133e49-b024-41c0-b92e-676c15fe577c,2026-03-09T09:09:15Z,anthropic,claude-sonnet-4.6,ccps,coa,2,policies,1341,38,"## Instructions:
- Based on your previous ratings, rank the 7 [Policies] listed below from 1 to 7, where 1 represents the option you support the most and 7 the option you support the least.
- In your response, return an ordered list of 7 ranks as integers, one rank per line following the format in the [Example output].
- Your response must have exactly 7 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 4
2. 1
3. 3
4. 2

## [Policies]:
1. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
2. Policies that emphasise economic growth over climate change adaptation or mitigation.
3. Adaptation policies that target individual, small business or community-based actions (eg support the installation of alternative energy generators, insulation, water use efficiency)
4. Adaptation policies and expenditure (e.g. coastal protection, water desalinisation, improving infrastructure etc). Planning controls and emergency response programs.
5. Leave the policy settings as they are.
6. Policies that involve a moderate cut in CO2 emissions (by 25% in over the next 10 years).
7. Policies that involve a dramatic cut back in CO2 emissions (by 50% in the next 10 years).","1. 4
2. 7
3. 1
4. 6
5. 3
6. 2
7. 5",NA
0e133e49-b024-41c0-b92e-676c15fe577c,2026-03-09T09:09:15Z,anthropic,claude-sonnet-4.6,ccps,coa,2,reason,1433,21,"## Instructions:
- In a single line, explain your ratings above within 100 characters or less.
- Do not include any additional formatting, such as bullets or special characters.
- Do not include more than one space in a row.",Lived through floods and displacement so I prioritize coastal protection and deep emissions cuts fast.,NA
3d3f611b-9cc6-4747-8c37-82dbc29dc34d,2026-03-09T09:09:48Z,anthropic,claude-sonnet-4.6,ccps,eco,2,considerations,833,168,"## Instructions:
- Rate each of the 33 [Considerations] below from 1 to 11, where 1 is strongly disagree and 11 is strongly agree.
- In your response, return an ordered list of 33 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 33 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. We should pay for greenhouse emissions.
2. Failure to address climate change is the fault of political leaders.
3. Australia is particularly vulnerable to climate change, and it is in our interest to help find an effective global solution.
4. The response to climate change is not going to be positive. The same mistakes will keep happening.
5. There is not enough information to definitively say that climate change is real.
6. I want to do something, but it is too big and too hard.
7. Climate change will not be a problem because there will be technological solutions available.
8. The fate of the planet is too important to be left to market forces.
9. There's not much point in me doing anything to fix this. No-one else is going to.
10. It is already too late to do anything, as any action to stop climate change will take a long time to take effect.
11. I'm not concerned enough to do anything drastic about this, such as participate in political action.
12. I believe that the difference we can have as an individual, in Australia, is so minimal that our actions are worthless.
13. I don't trust what scientists say about climate change.
14. I don't trust what I hear about climate change from government.
15. I'm not going to do anything to address climate change because it is not a major issue.
16. This is so depressing and is so out of our control.
17. More educational programmes are needed to increase public awareness about climate change.
18. It is clear that we are already entering the zone of dangerous climate change.
19. I care about the planet.
20. Australia's emissions are tiny, so it's not up to us to act.
21. If Australia reduces greenhouse gases it won't make a difference. That will just shift Australian jobs to other countries.
22. Australia does not owe it to the rest of the world to reduce emissions and suffer economically.
23. We can adapt to the coming changes.
24. I think it is safe to say climate change is here.
25. It's difficult to trust what comes out in the media on the issue of climate change.
26. When I read in the paper that climate change is not true, I start to have doubts about whether it is changing.
27. Governments should take a far greater role in preparing towns and cities to adapt to the impacts of climate change.
28. I don't know what to do. I'm very concerned and would like to do something, but I don't have a realistic shortlist of things that would really make a difference.
29. We need laws addressing climate change because people are not going to volunteer to change.
30. Climate variation is normal, so why should this be a problem?
31. We need strong political leadership to do something about climate change.
32. It is unfair that we are going to leave the climate in a mess for future generations.
33. Doing something to reduce emissions feels a bit hopeless but I just want to feel that I'm doing the most I can.","1. 10
2. 7
3. 11
4. 4
5. 1
6. 3
7. 2
8. 11
9. 2
10. 3
11. 1
12. 2
13. 1
14. 6
15. 1
16. 5
17. 9
18. 11
19. 11
20. 1
21. 2
22. 1
23. 5
24. 11
25. 6
26. 1
27. 10
28. 5
29. 10
30. 1
31. 11
32. 11
33. 6",NA
